========== 节点路由表: NJ-JiS-E24-FW-1.RP.Edu8000E ==========
生成时间: 2025-12-02 14:35:39


---------- VRF: default (IPv4) ----------
NETWORK              NEXT_HOP             INTERFACE       CONNECTED  DEFAULT_GW
--------------------------------------------------------------------------------
240e:1c7:8006:50::/60 240E:1C7:8006:1:132:252:19:61 Eth-Trunk2.14   false      false     
240e:1c7:8006:60::/60 240E:1C7:8006:1:132:252:19:69 Eth-Trunk2.15   false      false     
240e:1c7:8006:70::/60 240E:1C7:8006:1:132:252:19:71 Eth-Trunk2.16   false      false     
240e:1c7:8006:90::/60 240E:1C7:8006:1:132:252:19:81 Eth-Trunk2.18   false      false     
240e:1c7:8006:20::/60 240E:1C7:8006:1:132:252:19:49 Eth-Trunk2.11   false      false     
240e:1c7:8006:40::/60 240E:1C7:8006:1:132:252:19:59 Eth-Trunk2.13   false      false     
240e:1c7:8006:80::/60 240E:1C7:8006:1:132:252:19:79 Eth-Trunk2.17   false      false     
::/0                 240E:1C7:8006:1:132:252:19:41 Eth-Trunk2.10   false      true      

默认网关:
  NextHop: 240E:1C7:8006:1:132:252:19:41, Interface: Eth-Trunk2.10, Connected: false

---------- VRF: VPN_JiS_Management (IPv4) ----------
NETWORK              NEXT_HOP             INTERFACE       CONNECTED  DEFAULT_GW
--------------------------------------------------------------------------------
132.224.0.0/11       132.252.20.1         GigabitEthernet0/0/0 false      false     
