========== 节点路由表: NJ-JiS-E16&17-FW-3.DMZ.F5000 ==========
生成时间: 2025-12-02 14:35:32


---------- VRF: default (IPv4) ----------
NETWORK              NEXT_HOP             INTERFACE       CONNECTED  DEFAULT_GW
--------------------------------------------------------------------------------
172.16.49.107/32     192.168.0.4          Reth3           false      false     
172.16.148.140/32    192.168.0.4          Reth3           false      false     
192.168.0.14/32      192.168.0.4          Reth3           false      false     
192.168.192.18/32    192.168.0.4          Reth3           false      false     
192.168.192.27/32    192.168.0.4          Reth3           false      false     
192.168.246.6/32     192.168.0.4          Reth3           false      false     
192.168.246.10/32    192.168.0.4          Reth3           false      false     
192.168.246.13/32    192.168.0.4          Reth3           false      false     
192.168.246.101/32   192.168.0.4          Reth3           false      false     
198.10.33.254/32     192.168.0.4          Reth3           false      false     
198.21.1.156/32      192.168.0.4          Reth3           false      false     
0.0.0.0/0            192.168.254.5        Reth5           false      true      

默认网关:
  NextHop: 192.168.254.5, Interface: Reth5, Connected: false

---------- VRF: default (IPv6) ----------
NETWORK              NEXT_HOP             INTERFACE       CONNECTED  DEFAULT_GW
--------------------------------------------------------------------------------
240e:978:d04:100::/56 240E:978:D04:3::4    Reth4           false      false     
::/0                 240E:978:D04:4::2    Reth5           false      true      

默认网关:
  NextHop: 240E:978:D04:4::2, Interface: Reth5, Connected: false

---------- VRF: VPN_JiS_Management (IPv4) ----------
NETWORK              NEXT_HOP             INTERFACE       CONNECTED  DEFAULT_GW
--------------------------------------------------------------------------------
132.224.0.0/11       132.252.20.1         Vlan-interface1911 false      false     
